,x1,x2,x3,x4,y
0,8.58,38.38,1021.03,84.37,482.26
1,21.79,58.2,1017.21,66.74,446.94
2,16.64,48.92,1011.55,78.76,452.56
3,31.38,71.32,1009.17,60.42,433.44
4,9.2,40.03,1017.05,92.46,480.38
5,26.82,69.23,1013.28,50.86,436.36
6,9.48,40.8,1023.82,78.98,485.36
7,9.41,41.54,1019.48,82.19,481.59
8,31.03,69.59,1007.77,63.96,432.56
9,18.24,59.15,1012.0,84.4,449.48
10,19.96,39.53,1006.16,62.77,460.49
11,14.43,39.82,1012.56,78.52,470.17
12,14.38,40.71,1023.46,66.12,473.41
13,5.23,35.57,1026.23,79.38,488.5
14,14.43,41.76,1024.02,83.57,467.33
15,29.81,73.67,1005.6,60.91,430.67
16,17.79,43.52,1020.65,68.29,458.57
17,22.95,63.94,1013.91,81.52,438.33
18,18.94,48.7,1008.5,94.83,451.38
19,28.01,64.69,1007.61,58.45,440.23
20,28.08,59.14,1016.16,58.08,438.83
21,13.57,42.99,1007.51,88.95,472.04
22,11.36,41.48,1012.8,76.16,465.37
23,25.99,59.54,1007.78,74.48,441.32
24,15.19,41.43,1011.34,89.67,470.41
25,23.94,51.95,1008.18,71.87,451.84
26,28.56,74.22,1007.45,69.6,434.54
27,22.71,75.23,1010.48,76.86,444.0
28,6.3,39.33,1010.63,94.26,489.95
29,11.19,40.64,1020.57,84.49,472.86
30,25.96,68.08,1010.86,67.07,435.84
31,28.88,54.89,1007.16,46.6,440.99
32,21.93,60.84,1017.8,82.61,443.89
33,11.2,35.76,1019.24,64.59,473.33
34,25.16,58.82,1009.63,72.62,442.0
35,8.88,39.66,1015.21,88.29,481.45
36,31.63,69.59,1008.66,61.81,436.89
37,22.11,59.8,1016.86,70.14,450.62
38,21.69,44.57,1005.84,71.53,447.88
39,18.2,45.01,1013.82,68.14,452.21
40,12.14,44.85,1014.36,60.04,476.68
41,26.31,48.6,1002.64,60.04,440.06
42,17.27,43.52,1021.37,76.73,460.08
43,27.11,48.6,1002.78,53.39,439.4
44,14.81,39.58,1011.62,73.64,467.32
45,7.65,36.3,1016.5,65.51,482.56
46,25.7,69.45,1013.86,56.91,437.04
47,17.27,44.9,1007.85,78.8,454.19
48,30.2,69.59,1008.9,67.32,434.66
49,10.8,40.69,1014.3,87.44,478.19
50,8.07,41.17,1019.4,86.43,484.54
51,27.78,73.56,1007.05,95.32,436.5
52,21.23,68.08,1012.82,74.57,445.41
53,23.37,63.87,1016.67,60.44,446.42
54,21.45,60.84,1017.86,82.8,444.99
55,6.17,40.07,1013.7,58.99,495.21
56,7.87,41.17,1020.33,77.77,486.2
57,22.95,66.54,1004.53,88.06,434.41
58,27.28,47.93,1003.46,59.22,438.0
59,18.91,45.01,1012.9,59.81,456.12
60,26.75,58.33,1013.55,45.47,444.09
61,27.75,65.34,1014.8,45.91,440.83
62,6.89,43.65,1019.87,72.77,484.0
63,30.24,73.9,1006.74,56.39,441.31
64,32.05,77.24,1008.06,67.09,432.49
65,15.24,44.45,1020.56,66.13,460.94
66,13.13,40.75,1016.05,80.87,472.5
67,9.06,41.92,1029.9,90.88,473.37
68,29.68,64.33,1011.2,57.73,441.79
69,9.63,41.14,1027.99,87.89,469.73
70,8.86,40.23,1017.57,90.47,478.05
71,23.45,69.05,1003.03,66.41,440.24
72,9.51,40.46,1018.84,70.12,471.32
73,10.52,41.78,1013.54,71.52,474.58
74,4.93,38.44,1015.65,71.47,485.01
75,23.01,66.54,1009.86,64.53,442.47
76,10.59,41.54,1019.94,73.88,477.05
77,5.52,42.85,1012.77,93.82,478.98
78,30.67,72.86,1004.25,52.72,432.76
79,11.1,40.0,1021.29,86.58,477.2
80,5.37,40.07,1012.75,63.58,494.21
81,22.57,62.4,1009.77,86.05,444.69
82,18.9,56.03,1020.77,71.83,457.66
83,11.7,43.41,1016.08,62.27,467.51
84,27.49,71.94,1008.25,68.29,428.27
85,10.2,40.67,1016.15,73.2,482.26
86,26.23,59.87,1012.93,66.62,447.16
87,16.34,42.28,1008.08,52.8,463.29
88,8.97,44.03,1013.16,80.39,474.61
89,31.97,79.74,1007.03,55.84,435.99
90,30.29,74.16,1008.77,75.23,431.39
91,14.92,46.18,1014.21,98.82,465.63
92,30.3,73.9,1006.72,55.13,440.79
93,29.62,73.18,1012.21,61.6,427.22
94,15.63,37.87,1020.4,74.77,465.28
95,18.21,45.0,1022.86,48.84,467.54
96,31.92,75.33,1001.81,61.97,436.38
97,14.85,45.87,1009.37,84.65,462.67
98,25.34,70.47,1006.46,83.94,433.34
99,22.5,70.94,1008.04,82.39,442.4
100,13.27,42.28,1008.3,86.2,468.86
101,7.99,41.38,1021.95,78.77,487.57
102,18.36,62.1,1019.9,79.09,453.5
103,30.55,66.25,1009.15,63.52,440.74
104,16.73,45.0,1023.44,60.68,467.08
105,14.22,45.01,1014.17,70.14,464.06
106,18.06,52.08,1003.73,100.09,452.19
107,11.06,41.16,1018.52,89.14,467.46
108,16.77,42.28,1007.53,73.19,465.52
109,18.99,62.1,1020.0,76.76,453.09
110,16.55,46.18,1009.97,96.54,455.8
111,22.21,45.01,1012.22,54.84,450.6
112,28.88,66.56,1006.26,59.15,426.66
113,23.02,69.94,1007.94,64.66,439.4
114,21.67,69.71,1010.46,96.83,440.16
115,9.96,39.66,1015.23,82.98,480.6
116,7.69,39.96,1023.9,89.18,478.05
117,18.32,66.51,1015.18,81.5,459.89
118,7.04,39.37,1019.37,69.11,488.0
119,17.45,49.64,1026.4,66.67,454.67
120,23.64,69.94,1005.2,64.53,439.66
121,12.72,40.6,1013.45,86.16,471.23
122,16.5,39.72,1003.05,65.99,459.06
123,26.81,74.9,1003.99,79.88,435.56
124,23.2,49.3,1003.4,79.77,440.75
125,19.18,58.2,1017.46,76.72,453.2
126,16.4,38.01,1022.2,73.05,463.79
127,9.53,38.38,1020.49,80.08,478.03
128,29.35,68.51,1007.63,70.67,430.22
129,27.89,69.88,1007.99,85.62,430.75
130,23.66,61.86,1013.33,83.09,444.27
131,27.59,54.2,1013.1,51.61,439.31
132,30.72,71.58,1009.98,50.39,430.46
133,13.18,52.72,1024.67,75.96,468.36
134,10.11,39.35,1015.19,90.74,479.83
135,21.83,41.1,1001.91,41.79,453.38
136,33.4,69.98,1013.29,47.78,432.44
137,15.11,45.01,1017.01,84.39,462.21
138,10.91,42.34,1021.83,94.99,470.91
139,5.79,45.87,1010.23,95.41,480.97
140,12.3,40.69,1015.74,82.58,474.46
141,10.9,40.67,1016.66,65.09,482.4
142,20.27,56.65,1020.75,67.12,454.29
143,27.19,64.27,1013.06,58.13,444.54
144,9.35,44.03,1011.02,88.11,476.25
145,30.61,69.13,1009.32,55.17,429.1
146,19.89,69.48,1011.06,86.73,447.63
147,14.67,71.14,1019.84,77.72,458.8
148,29.03,43.21,1011.83,65.23,434.11
149,30.35,71.32,1009.17,64.61,434.62
150,12.33,39.85,1012.53,66.04,479.32
151,7.85,37.8,1020.9,59.19,478.68
152,20.46,66.05,1014.93,78.51,454.06
153,10.77,44.78,1012.87,84.16,470.66
154,24.88,73.17,1012.26,84.96,434.85
155,19.79,60.1,1010.47,84.04,452.41
156,21.24,60.84,1017.99,82.22,445.71
157,10.75,45.0,1023.68,89.37,481.96
158,26.1,62.91,1012.44,60.91,446.05
159,20.56,64.45,1012.24,53.09,458.97
160,29.39,68.24,1009.06,66.76,427.96
161,28.62,68.24,1010.15,69.31,428.08
162,24.44,59.14,1016.74,71.82,443.5
163,23.81,57.5,1015.53,70.66,448.72
164,6.65,38.5,1014.01,87.6,491.54
165,28.5,74.87,1009.67,53.78,444.88
166,15.48,47.83,1004.88,81.68,463.67
167,19.15,39.72,1001.49,58.62,457.45
168,14.81,43.69,1017.19,71.9,470.71
169,20.97,61.87,1011.45,65.41,446.76
170,15.01,43.56,1014.65,61.82,465.84
171,28.85,58.33,1013.78,41.39,444.0
172,23.84,49.21,1013.1,44.72,445.44
173,10.32,39.28,1016.56,94.13,478.88
174,27.2,78.05,1010.15,90.2,430.55
175,23.07,70.47,1008.64,83.37,439.04
176,23.51,48.98,1014.63,41.56,454.06
177,14.69,49.64,1023.43,78.17,434.12
178,26.59,69.13,1009.27,73.96,430.11
179,28.31,66.17,1009.75,72.66,444.51
180,12.89,36.71,1013.36,87.29,475.13
181,15.82,44.2,1018.96,66.73,460.2
182,23.07,50.05,1006.9,86.98,442.97
183,29.05,68.24,1007.88,42.67,433.92
184,6.14,38.5,1012.4,75.35,489.26
185,12.14,40.83,1010.56,78.31,474.82
186,10.1,41.79,1019.36,78.07,474.09
187,14.55,42.74,1028.41,70.09,465.81
188,12.24,41.62,1013.38,90.26,461.23
189,28.29,69.13,1009.29,58.18,429.28
190,27.13,59.54,1004.33,73.27,438.32
191,26.9,66.48,1004.47,54.71,432.95
192,16.19,36.99,1007.37,92.4,462.94
193,12.89,48.14,1017.48,83.95,463.77
194,30.94,64.44,1014.36,53.76,439.84
195,18.34,65.94,1013.27,85.42,451.29
196,6.67,39.33,1011.07,91.96,490.03
197,24.19,58.95,1017.78,58.78,441.91
198,23.8,48.6,1002.43,67.32,440.89
199,25.56,69.13,1002.46,68.26,434.48
200,29.45,75.6,1018.12,50.68,437.31
201,14.82,42.74,1028.04,69.81,466.34
202,13.85,44.9,1019.11,76.79,467.2
203,16.13,43.48,1014.41,50.05,459.47
204,31.2,73.17,1010.28,53.23,431.23
205,9.32,36.66,1027.46,70.76,479.13
206,14.5,41.76,1023.94,84.42,464.23
207,15.31,40.66,1016.46,84.64,458.26
208,10.53,40.64,1020.62,98.43,477.99
209,24.75,58.79,1009.87,71.97,444.79
210,16.81,42.86,1013.83,77.11,464.36
211,22.36,58.79,1016.69,73.6,445.76
212,20.55,68.63,1012.5,67.07,453.47
213,23.47,65.61,1014.57,69.83,447.16
214,29.1,73.4,1011.35,57.31,436.85
215,14.22,44.99,1012.0,75.28,460.53
216,9.91,39.64,1010.57,75.82,478.63
217,10.12,43.72,1011.33,97.62,473.05
